time,relative_humidity,air_temperature_average,wind_speed_average,wind_gust_average,air_dewpoint_average,wind_chill,heat_index,air_pressure_average
2023-08-14T00:00:07Z,98,19,1,3,19,19,19,1015.58
2023-08-14T00:15:08Z,99,19,2,3,19,19,19,1015.92
2023-08-14T00:30:08Z,99,19,3,4,19,19,19,1015.24
2023-08-14T00:45:09Z,99,19,2,4,19,19,19,1015.24
2023-08-14T01:00:09Z,99,19,3,4,19,19,19,1014.9
2023-08-14T01:15:11Z,99,19,2,4,19,19,19,1014.56
2023-08-14T01:30:12Z,99,19,4,4,19,19,19,1014.9
2023-08-14T01:45:13Z,99,19,2,4,19,19,19,1014.56
2023-08-14T02:00:14Z,99,19,2,3,19,19,19,1014.56
2023-08-14T02:15:14Z,99,19,3,5,19,19,19,1015.24
2023-08-14T02:30:16Z,99,18,1,4,18,18,18,1015.58
2023-08-14T02:45:17Z,99,19,2,3,18,19,19,1014.22
2023-08-14T03:00:18Z,99,19,2,4,19,19,19,1013.88
2023-08-14T03:15:23Z,99,19,3,4,19,19,19,1014.56
2023-08-14T03:30:26Z,99,19,3,4,19,19,19,1012.87
2023-08-14T03:45:28Z,99,19,1,4,19,19,19,1013.55
2023-08-14T04:00:28Z,99,19,1,2,19,19,19,1013.55
2023-08-14T04:15:28Z,99,19,1,2,19,19,19,1013.55
2023-08-14T04:30:29Z,99,19,1,1,19,19,19,1013.55
2023-08-14T04:45:31Z,100,19,0,2,19,19,19,1013.55
2023-08-14T05:00:32Z,99,19,2,4,19,19,19,1013.55
2023-08-14T05:16:02Z,99,19,1,3,19,19,19,1013.88
2023-08-14T05:30:35Z,99,19,6,6,19,19,19,1013.21
2023-08-14T05:45:37Z,99,19,5,8,18,19,19,1012.53
2023-08-14T06:00:40Z,99,19,6,9,19,19,19,1010.84
2023-08-14T06:15:43Z,99,19,3,9,19,19,19,1010.16
2023-08-14T06:30:45Z,99,19,5,8,19,19,19,1010.84
2023-08-14T06:45:46Z,99,19,4,6,18,19,19,1010.84
2023-08-14T07:00:47Z,99,19,4,8,19,19,19,1010.84
2023-08-14T07:15:47Z,99,19,4,8,19,19,19,1010.84
2023-08-14T07:30:50Z,99,19,1,5,19,19,19,1011.18
2023-08-14T07:45:53Z,99,19,1,4,19,19,19,1010.84
2023-08-14T08:00:55Z,99,19,2,4,19,19,19,1010.5
2023-08-14T08:15:58Z,99,19,1,4,19,19,19,1010.16
2023-08-14T08:30:00Z,99,19,3,4,19,19,19,1010.16
2023-08-14T08:45:02Z,99,19,2,5,19,19,19,1010.16
2023-08-14T09:00:06Z,98,18,3,4,18,18,18,1010.16
2023-08-14T09:15:08Z,99,18,1,3,18,18,18,1010.16
2023-08-14T09:30:09Z,99,18,1,1,18,18,18,1010.5
2023-08-14T09:45:09Z,99,18,0,1,18,18,18,1010.5
2023-08-14T10:00:10Z,99,18,1,3,18,18,18,1010.5
2023-08-14T10:30:11Z,99,18,0,1,18,18,18,1010.5
2023-08-14T10:45:11Z,99,18,0,0,18,18,18,1010.5
2023-08-14T11:00:12Z,100,19,1,1,19,19,19,1010.5
2023-08-14T11:15:12Z,99,19,0,1,18,19,19,1010.5
2023-08-14T11:30:13Z,99,19,0,1,18,19,19,1010.5
2023-08-14T11:45:13Z,99,19,0,1,18,19,19,1010.5
2023-08-14T12:00:14Z,99,19,1,2,19,19,19,1010.5
2023-08-14T12:15:14Z,99,19,0,1,19,19,19,1010.16
2023-08-14T12:30:15Z,99,19,0,0,19,19,19,1010.5
2023-08-14T12:45:16Z,99,19,0,0,19,19,19,1010.5
2023-08-14T13:00:17Z,99,20,0,1,19,20,20,1010.5
2023-08-14T13:15:18Z,100,20,0,1,20,20,20,1010.5
2023-08-14T13:30:20Z,100,20,1,1,20,20,20,1010.5
2023-08-14T13:45:23Z,99,20,3,4,21,20,20,1010.5
2023-08-14T14:00:25Z,98,21,1,4,21,21,21,1010.5
2023-08-14T14:15:27Z,97,21,3,5,21,21,22,1010.5
2023-08-14T14:30:31Z,95,22,2,6,21,22,22,1010.5
2023-08-14T14:45:33Z,93,22,2,5,21,22,22,1010.5
2023-08-14T15:00:33Z,92,22,5,5,21,22,22,1010.5
2023-08-14T15:15:35Z,92,22,3,5,21,22,23,1010.5
2023-08-14T15:30:37Z,91,22,3,5,21,22,23,1010.5
2023-08-14T15:45:37Z,90,22,4,6,21,22,23,1010.5
2023-08-14T16:00:39Z,90,22,2,5,21,22,23,1010.5
2023-08-14T16:15:43Z,88,23,6,6,21,23,23,1010.84
2023-08-14T16:30:48Z,87,23,1,5,21,23,24,1010.5
2023-08-14T16:45:51Z,87,23,2,5,21,23,24,1010.5
