time,temperature,wave_height_sig,wave_period_max,wave_height_max,wave_spread_avg,sea_surface_wave_mean_period
2023-08-01T00:18:00Z,17,0.76,8.53,1.21,35,5.33
2023-08-01T01:18:00Z,18,0.77,8.25,1.19,36,5.51
2023-08-01T02:18:00Z,18,0.67,8,1.1,39,5.2
2023-08-01T03:18:00Z,18,0.73,8.25,1.25,42,5.33
2023-08-01T04:18:00Z,17,0.7,8.25,1.09,38,5.35
2023-08-01T05:18:00Z,17,0.68,8.53,1.1,35,5.39
2023-08-01T06:18:00Z,17,0.64,8.25,0.97,35,5.35
2023-08-01T07:18:00Z,17,0.66,9.14,1.02,37,5.52
2023-08-01T08:18:00Z,16,0.61,8.53,1.09,43,5.07
2023-08-01T09:18:00Z,17,0.6,7.31,1.03,36,5.1
2023-08-01T10:18:00Z,20,0.63,7.31,1.03,35,5.61
2023-08-01T11:18:00Z,24,0.59,7.52,0.96,37,5.2
2023-08-01T12:18:00Z,24,0.61,8.53,0.95,41,5.37
2023-08-01T13:18:00Z,27,0.61,7.11,0.93,35,5.31
2023-08-01T14:18:00Z,25,0.61,8,0.99,36,5.15
2023-08-01T15:18:00Z,26,0.56,6.91,0.99,36,4.68
2023-08-01T16:18:00Z,27,0.55,6.4,0.94,40,4.65
2023-08-01T17:18:00Z,26,0.56,7.75,0.91,35,4.4
2023-08-01T18:18:00Z,27,0.6,7.75,1.03,37,3.72
2023-08-01T19:18:00Z,26,0.57,9.48,0.96,39,3.9
2023-08-01T20:18:00Z,26,0.6,11.63,0.97,35,4.97
2023-08-01T21:18:00Z,25,0.63,9.14,1.07,36,5.1
2023-08-01T22:18:00Z,22,0.79,10.66,1.29,35,5.05
2023-08-01T23:18:00Z,20,0.91,9.48,1.6,34,5.38
2023-08-02T00:18:00Z,19,0.88,10.23,1.38,35,5.7
2023-08-02T01:18:00Z,18,0.97,9.48,1.39,34,6.43
2023-08-02T02:18:00Z,18,0.97,8.82,1.4,35,6.47
2023-08-02T03:18:00Z,18,1.14,10.23,1.66,36,6.71
2023-08-02T04:18:00Z,17,0.9,9.14,1.39,37,6.13
2023-08-02T05:18:00Z,16,0.9,9.14,1.44,38,6.87
2023-08-02T06:18:00Z,16,0.9,9.14,1.46,36,6.76
2023-08-02T07:18:00Z,16,0.86,10.23,1.26,35,6.35
2023-08-02T08:18:00Z,15,0.87,9.48,1.3,34,6.58
2023-08-02T09:18:00Z,15,0.71,9.14,1.11,37,5.71
2023-08-02T10:18:00Z,20,0.77,10.23,1.25,35,6.24
2023-08-02T11:18:00Z,22,0.76,9.14,1.2,39,6.61
2023-08-02T12:18:00Z,25,0.76,9.14,1.22,38,6.45
2023-08-02T13:18:00Z,26,0.81,10.23,1.23,36,6.87
2023-08-02T14:18:00Z,29,0.76,9.84,1.25,38,6.6
2023-08-02T16:18:00Z,29,0.73,9.48,1.19,38,6.38
2023-08-02T17:18:00Z,30,0.74,8.53,1.09,38,6.59
2023-08-02T18:18:00Z,29,0.63,9.48,0.97,37,6.3
2023-08-02T19:18:00Z,29,0.64,8.25,1.05,37,6.42
2023-08-02T20:18:00Z,27,0.67,8.82,1.07,43,5.6
2023-08-02T21:18:00Z,26,0.68,8.53,1.15,40,5.06
2023-08-02T22:18:00Z,24,0.72,7.75,1.14,37,5.14
2023-08-02T23:18:00Z,21,0.66,7.75,1.21,37,5.19
2023-08-03T00:18:00Z,19,0.66,7.75,1.05,46,5.49
2023-08-03T02:18:00Z,17,0.75,8.53,1.31,38,5.95
2023-08-03T03:18:00Z,16,0.67,8,1.04,41,5.48
2023-08-03T04:18:00Z,16,0.68,8.25,1.04,36,5.43
2023-08-03T05:18:00Z,16,0.62,8.53,0.98,39,5.89
2023-08-03T06:18:00Z,16,0.56,8.53,0.92,41,5.54
2023-08-03T07:18:00Z,16,0.59,7.75,0.98,36,5.53
2023-08-03T08:18:00Z,15,0.58,7.52,0.93,38,5.93
2023-08-03T09:18:00Z,15,0.59,8.25,0.98,41,5.89
2023-08-03T10:18:00Z,19,0.56,11.63,0.87,39,5.98
2023-08-03T11:18:00Z,23,0.66,8,1.04,37,5.75
2023-08-03T12:18:00Z,27,0.61,11.13,0.96,37,5.54
2023-08-03T13:18:00Z,26,0.57,10.66,0.96,35,6.04
2023-08-03T14:18:00Z,26,0.54,6.91,0.89,38,5.66
2023-08-03T15:18:00Z,28,0.59,11.13,0.97,37,6.1
2023-08-03T16:18:00Z,29,0.58,10.66,0.97,39,6.36
2023-08-03T17:18:00Z,30,0.55,8,0.9,36,6.56
2023-08-03T18:18:00Z,30,0.57,11.13,1.01,36,6.7
2023-08-03T19:18:00Z,28,0.56,8.25,0.93,40,6.2
2023-08-03T20:18:00Z,28,0.57,10.23,0.94,41,5.93
2023-08-03T21:18:00Z,26,0.61,11.63,0.96,35,6.11
2023-08-03T22:18:00Z,24,0.55,8.25,0.83,36,5.79
2023-08-03T23:18:00Z,20,0.6,8.25,1.02,36,5.88
2023-08-04T00:18:00Z,18,0.61,10.66,1.02,37,6.38
2023-08-04T01:18:00Z,18,0.58,9.84,0.89,37,6.09
2023-08-04T02:18:00Z,17,0.7,11.13,1.22,36,6.47
2023-08-04T03:18:00Z,16,0.66,9.48,1.12,36,6.4
2023-08-04T04:18:00Z,16,0.59,9.48,0.99,41,5.76
2023-08-04T05:18:00Z,16,0.66,10.23,0.99,38,6.13
2023-08-04T06:18:00Z,16,0.65,11.63,1.18,37,6.08
2023-08-04T07:18:00Z,16,0.6,8.53,1.02,36,5.66
2023-08-04T08:18:00Z,17,0.63,12.19,0.96,37,5.6
2023-08-04T09:18:00Z,17,0.73,8.82,1.26,39,5.3
2023-08-04T10:18:00Z,20,0.69,9.84,1.1,39,4.89
2023-08-04T11:18:00Z,23,0.71,8.25,1.23,35,4.9
2023-08-04T12:18:00Z,23,0.76,11.63,1.3,39,4.91
2023-08-04T13:18:00Z,28,0.77,11.13,1.38,36,4.99
2023-08-04T14:18:00Z,30,0.83,8.82,1.31,35,5.26
2023-08-04T15:18:00Z,31,0.75,11.13,1.24,35,5.39
2023-08-04T16:18:00Z,31,0.87,9.14,1.38,37,5.37
2023-08-04T17:18:00Z,31,0.91,8.82,1.56,36,5.72
2023-08-04T18:18:00Z,32,0.85,11.13,1.39,34,5.17
2023-08-04T19:18:00Z,33,0.8,10.66,1.42,39,5
2023-08-04T20:18:00Z,32,0.75,8,1.28,39,4.92
2023-08-04T21:18:00Z,28,0.77,10.66,1.48,37,4.92
2023-08-04T23:18:00Z,21,0.78,10.23,1.21,36,5.19
2023-08-05T00:18:00Z,20,0.91,10.66,1.46,37,5.15
2023-08-05T01:18:00Z,20,0.94,9.14,1.53,37,4.86
2023-08-05T02:18:00Z,20,1.01,7.75,1.77,37,4.62
2023-08-05T03:18:00Z,21,1.1,9.14,1.93,37,4.84
2023-08-05T04:18:00Z,21,1.07,9.48,1.77,36,5.04
2023-08-05T05:18:00Z,21,1.1,9.48,1.77,36,4.92
2023-08-05T06:18:00Z,21,1.22,8.82,2.08,37,4.59
2023-08-05T07:18:00Z,21,1.27,9.84,2.06,36,4.47
2023-08-05T08:18:00Z,21,1.43,5.33,2.49,39,4.54
2023-08-05T09:18:00Z,20,1.51,5.81,2.48,37,4.63
2023-08-05T10:18:00Z,19,1.6,5.95,2.71,39,4.91
2023-08-05T11:18:00Z,19,1.64,5.95,3.01,42,4.9
2023-08-05T12:18:00Z,19,1.81,5.95,2.93,37,5.19
2023-08-05T13:18:00Z,23,2.03,6.56,3.63,37,5.04
2023-08-05T14:18:00Z,23,2.03,6.4,3.33,39,4.92
2023-08-05T15:18:00Z,25,2.07,6.73,3.47,38,5.06
2023-08-05T16:18:00Z,27,2.07,6.73,3.41,36,5.2
2023-08-05T17:18:00Z,25,1.83,6.4,3.11,38,5.04
2023-08-05T18:18:00Z,25,1.77,6.56,3.01,36,5.16
2023-08-05T19:18:00Z,22,1.72,7.11,2.84,38,5.06
2023-08-05T20:18:00Z,26,1.71,6.24,2.84,37,5.37
2023-08-05T21:18:00Z,26,1.43,6.73,2.31,40,4.99
2023-08-05T22:18:00Z,24,1.61,6.4,2.47,39,5.38
2023-08-05T23:18:00Z,20,1.56,6.56,2.64,35,5.43
2023-08-06T00:18:00Z,19,1.33,6.73,2.18,38,5.04
2023-08-06T01:18:00Z,20,1.48,8,2.66,39,5.37
